Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10nF","C_0603_1608Metric",144.081500,-106.680000,180.000000,top
"C2","100nF","C_0603_1608Metric",140.899000,-106.680000,180.000000,top
"C3","10nF","C_0603_1608Metric",137.731500,-106.680000,180.000000,top
"C4","100nF","C_0603_1608Metric",145.034000,-103.886000,90.000000,top
"C5","100nF","C_0603_1608Metric",145.161000,-99.187000,270.000000,top
"C6","10u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.113000,-120.523000,0.000000,top
"D1","1N4148W","D_SOD-123",141.859000,-93.980000,270.000000,top
"D2","1N4148W","D_SOD-123",139.192000,-93.980000,270.000000,top
"D3","1N4148W","D_SOD-123",144.526000,-93.980000,270.000000,top
"R1","100R","R_0603_1608Metric",142.474000,-108.331000,0.000000,top
"R2","100R","R_0603_1608Metric",139.324000,-108.331000,180.000000,top
"R3","10k","R_0603_1608Metric",147.345500,-95.631000,180.000000,top
"R4","10k","R_0603_1608Metric",147.345500,-93.853000,180.000000,top
"R5","10k","R_0603_1608Metric",136.372500,-95.631000,0.000000,top
"U1","MAX31856","TSSOP-14_4.4x5mm_P0.65mm",141.224000,-101.531500,90.000000,top
